0	17	34
10	7	28
20	15	17
30	35	19
40	34	9
50	31	15
60	34	8
70	30	10
80	40	17
90	31	10
100	25	8
110	33	16
120	30	16
130	29	9
140	28	14
150	14	24
160	11	27
170	9	29
180	10	19
190	18	27
200	10	33
210	14	25
220	9	25
230	8	29
240	9	26
250	8	27
260	7	23
270	12	29
280	10	16
290	6	21
300	6	28
310	8	28
320	9	25
330	9	16
340	10	21
350	13	27
360	11	19
370	16	21
380	12	29
390	12	17
400	8	22
410	8	22
420	11	24
430	14	26
440	9	20
450	8	24
460	10	18
470	11	23
480	16	24
490	7	27
500	6	29
510	8	30
520	9	18
530	15	20
540	10	28
550	11	19
560	6	22
570	10	19
580	13	23
590	8	23
600	7	26
610	13	11
620	11	33
630	13	33
640	8	14
650	11	21
660	9	23
670	12	28
680	12	22
690	9	21
700	6	21
710	3	19
720	11	26
730	3	22
740	13	28
750	12	24
760	13	17
770	11	26
780	8	31
790	12	23
800	8	24
810	12	28
820	17	25
830	6	19
840	12	16
850	34	9
860	37	5
870	31	11
880	18	13
890	32	9
900	30	10
910	29	15
920	23	9
930	31	14
940	36	13
950	33	5
960	35	8
970	32	13
980	26	16
990	22	10
1000	30	8
1010	32	10
1020	29	12
1030	24	11
1040	35	7
1050	23	17
1060	9	20
1070	11	32
1080	14	21
1090	12	22
1100	12	19
1110	25	10
1120	32	10
1130	26	5
1140	25	7
1150	22	11
1160	28	13
1170	26	11
1180	26	9
1190	27	9
1200	29	11
1210	27	13
1220	19	14
1230	38	11
1240	36	12
1250	31	18
1260	9	28
1270	9	23
1280	10	22
1290	7	27
1300	7	22
1310	11	18
1320	8	35
1330	12	26
1340	12	20
1350	19	22
1360	6	18
1370	7	26
1380	9	21
1390	14	21
1400	10	25
1410	9	34
1420	10	18
1430	14	24
1440	18	32
1450	15	34
1460	15	16
1470	6	15
1480	7	29
1490	11	19
1500	9	27
1510	12	29
1520	11	24
1530	9	17
1540	14	18
1550	8	19
1560	12	21
1570	9	22
1580	6	24
1590	7	19
1600	13	26
1610	13	16
1620	7	27
1630	7	34
1640	10	18
1650	17	25
1660	10	18
1670	14	24
1680	9	20
1690	9	24
1700	13	28
1710	9	26
1720	10	30
1730	11	20
1740	7	32
1750	15	19
1760	12	22
1770	9	26
1780	5	22
1790	9	21
1800	8	32
1810	8	26
1820	9	21
1830	9	20
1840	8	15
1850	10	25
1860	8	20
1870	11	18
1880	9	27
1890	6	25
1900	12	23
1910	11	26
1920	15	32
1930	12	26
1940	8	27
1950	16	18
1960	11	22
1970	4	30
1980	10	28
