%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+3.205e-01
3	3	+3.205e-01	+1.786e+00
1	1	+2.106e+00	+1.093e-01
2	2	+2.215e+00	+2.793e+00
3	3	+5.008e+00	+1.373e+00
2	2	+6.381e+00	+2.581e+00
1	1	+8.962e+00	+9.645e-01
2	2	+9.926e+00	+1.640e+00
1	1	+1.157e+01	+1.618e-01
3	3	+1.173e+01	+4.388e-02
1	1	+1.177e+01	+1.695e-01
2	2	+1.194e+01	+2.444e+00
3	3	+1.439e+01	+4.549e-01
2	2	+1.484e+01	+6.276e-01
3	3	+1.547e+01	+1.059e-01
1	1	+1.557e+01	+5.697e-01
2	2	+1.614e+01	+1.571e+00
3	3	+1.771e+01	+1.825e+00
2	2	+1.954e+01	+1.830e+00
1	1	+2.137e+01	+2.152e+00
2	2	+2.352e+01	+1.264e-01
3	3	+2.365e+01	+1.010e-01
1	1	+2.375e+01	+1.735e+00
3	3	+2.548e+01	+4.866e+00
1	1	+3.035e+01	+1.462e+00
3	3	+3.181e+01	+9.257e+00
1	1	+4.107e+01	+1.466e+00
2	2	+4.254e+01	+1.735e+00
3	3	+4.427e+01	+2.341e-02
2	2	+4.429e+01	+2.256e+00
3	3	+4.655e+01	+3.835e+00
2	2	+5.039e+01	+1.371e-01
3	3	+5.052e+01	+1.126e+00
2	2	+5.165e+01	+6.644e-01
1	1	+5.231e+01	+2.891e+00
3	3	+5.520e+01	+1.039e-01
2	2	+5.531e+01	+3.382e-01
3	3	+5.565e+01	+2.125e-01
1	1	+5.586e+01	+5.264e+00
3	3	+6.112e+01	+8.448e-01
2	2	+6.197e+01	+5.712e+00
3	3	+6.768e+01	+4.418e+00
1	1	+7.210e+01	+1.625e-01
2	2	+7.226e+01	+3.863e+00
3	3	+7.612e+01	+1.654e+00
2	2	+7.778e+01	+9.666e-01
3	3	+7.874e+01	+2.162e-01
2	2	+7.896e+01	+1.507e+00
3	3	+8.047e+01	+2.154e+00
2	2	+8.262e+01	+4.141e-01
3	3	+8.304e+01	+3.210e+00
2	2	+8.624e+01	+2.126e+00
3	3	+8.837e+01	+2.930e+00
2	2	+9.130e+01	+1.437e+00
3	3	+9.274e+01	+1.915e+00
2	2	+9.465e+01	+3.305e+00
3	3	+9.796e+01	+3.538e-02
2	2	+9.799e+01	+1.246e+00
1	1	+9.924e+01	+2.265e+00
2	2	+1.015e+02	+3.699e+00
1	1	+1.052e+02	+2.241e+00
3	3	+1.074e+02	+1.017e+00
1	1	+1.085e+02	+4.014e+00
3	3	+1.125e+02	+1.146e+00
2	2	+1.136e+02	+6.097e+00
3	3	+1.197e+02	+1.599e-01
2	2	+1.199e+02	+8.686e-02
3	3	+1.200e+02	+2.442e+00
2	2	+1.224e+02	+3.979e+00
3	3	+1.264e+02	+1.826e+00
1	1	+1.282e+02	+2.784e-01
2	2	+1.285e+02	+9.214e-01
3	3	+1.294e+02	+2.250e+00
1	1	+1.317e+02	+1.315e+00
3	3	+1.330e+02	+2.209e-01
1	1	+1.332e+02	+3.960e-01
3	3	+1.336e+02	+1.201e+00
2	2	+1.348e+02	+5.790e+00
1	1	+1.406e+02	+5.844e-01
2	2	+1.412e+02	+1.105e+00
3	3	+1.423e+02	+3.400e+00
1	1	+1.457e+02	+2.863e+00
2	2	+1.485e+02	+2.093e+00
3	3	+1.506e+02	+5.441e-01
2	2	+1.512e+02	+9.899e-01
1	1	+1.522e+02	+4.562e+00
2	2	+1.567e+02	+2.903e+00
3	3	+1.596e+02	+5.747e-01
2	2	+1.602e+02	+2.982e-01
1	1	+1.605e+02	+7.715e-01
2	2	+1.613e+02	+5.167e+00
1	1	+1.664e+02	+5.083e+00
2	2	+1.715e+02	+4.346e-01
3	3	+1.720e+02	+1.895e+00
2	2	+1.739e+02	+4.331e+00
3	3	+1.782e+02	+1.045e+00
2	2	+1.792e+02	+3.417e+00
3	3	+1.826e+02	+4.265e+00
2	2	+1.869e+02	+4.479e-01
3	3	+1.874e+02	+2.623e+00
1	1	+1.900e+02	+9.337e-01
0	0	+1.909e+02	+Inf
