%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+2.248e+03	+7.682e+03	+9.713e+03	+0.774
0.100	+1.413e+03	+7.215e+03	+9.923e+03	+0.836
0.200	+1.696e+03	+7.843e+03	+9.686e+03	+0.822
0.300	+2.045e+03	+7.802e+03	+9.505e+03	+0.792
0.400	+4.325e+03	+5.765e+03	+9.531e+03	+0.571
0.500	+2.401e+03	+7.651e+03	+1.021e+04	+0.761
0.600	+2.484e+03	+8.019e+03	+1.047e+04	+0.764
0.700	+2.244e+03	+8.357e+03	+1.039e+04	+0.788
0.800	+1.209e+03	+8.866e+03	+1.165e+04	+0.880
0.900	+1.794e+03	+9.061e+03	+8.536e+03	+0.835
1.000	+1.635e+03	+8.470e+03	+9.993e+03	+0.838
1.100	+2.745e+03	+7.502e+03	+1.093e+04	+0.732
1.200	+2.007e+03	+6.787e+03	+1.047e+04	+0.772
1.300	+2.191e+03	+7.866e+03	+1.068e+04	+0.782
1.400	+2.288e+03	+8.959e+03	+9.064e+03	+0.797
1.500	+2.397e+03	+7.904e+03	+9.633e+03	+0.767
1.600	+1.609e+03	+8.451e+03	+9.915e+03	+0.840
1.700	+2.425e+03	+7.745e+03	+9.414e+03	+0.762
1.800	+2.620e+03	+7.775e+03	+1.047e+04	+0.748
1.900	+1.744e+03	+8.546e+03	+9.707e+03	+0.830
2.000	+1.447e+03	+7.284e+03	+1.038e+04	+0.834
2.100	+3.517e+03	+6.842e+03	+9.860e+03	+0.660
2.200	+5.165e+03	+4.067e+03	+9.900e+03	+0.441
2.300	+3.973e+03	+4.385e+03	+9.526e+03	+0.525
2.400	+4.322e+03	+5.664e+03	+1.051e+04	+0.567
2.500	+3.509e+03	+5.755e+03	+9.993e+03	+0.621
2.600	+4.812e+03	+5.604e+03	+9.732e+03	+0.538
2.700	+2.723e+03	+6.947e+03	+1.072e+04	+0.718
2.800	+2.139e+03	+7.833e+03	+1.038e+04	+0.786
2.900	+1.856e+03	+6.945e+03	+1.106e+04	+0.789
3.000	+2.347e+03	+8.961e+03	+9.195e+03	+0.792
3.100	+7.481e+02	+8.003e+03	+1.059e+04	+0.915
3.200	+3.656e+03	+7.673e+03	+1.142e+04	+0.677
3.300	+6.215e+02	+8.294e+03	+9.797e+03	+0.930
3.400	+1.745e+03	+8.672e+03	+8.482e+03	+0.832
3.500	+2.853e+03	+9.352e+03	+9.048e+03	+0.766
3.600	+2.485e+03	+8.309e+03	+1.013e+04	+0.770
3.700	+1.667e+03	+8.205e+03	+1.069e+04	+0.831
3.800	+1.379e+03	+8.146e+03	+1.057e+04	+0.855
3.900	+3.322e+02	+7.809e+03	+9.521e+03	+0.959
4.000	+1.314e+03	+8.112e+03	+1.076e+04	+0.861
4.100	+2.845e+03	+8.550e+03	+9.619e+03	+0.750
4.200	+6.878e+03	+2.788e+03	+9.581e+03	+0.288
4.300	+7.056e+03	+2.618e+03	+9.487e+03	+0.271
4.400	+7.761e+03	+2.071e+03	+9.661e+03	+0.211
4.500	+6.878e+03	+3.026e+03	+9.435e+03	+0.306
4.600	+6.424e+03	+2.956e+03	+8.864e+03	+0.315
4.700	+7.295e+03	+3.555e+03	+9.317e+03	+0.328
4.800	+6.634e+03	+2.641e+03	+1.028e+04	+0.285
4.900	+8.433e+03	+1.949e+03	+1.080e+04	+0.188
5.000	+6.910e+03	+3.126e+03	+9.474e+03	+0.311
5.100	+7.696e+03	+2.713e+03	+1.050e+04	+0.261
5.200	+7.857e+03	+1.824e+03	+1.012e+04	+0.188
5.300	+7.413e+03	+2.881e+03	+9.887e+03	+0.280
5.400	+8.077e+03	+1.209e+03	+1.039e+04	+0.130
5.500	+6.617e+03	+2.204e+03	+9.211e+03	+0.250
5.600	+6.894e+03	+2.216e+03	+1.045e+04	+0.243
5.700	+7.406e+03	+2.528e+03	+1.047e+04	+0.254
5.800	+7.843e+03	+2.156e+03	+8.619e+03	+0.216
5.900	+7.944e+03	+2.058e+03	+9.613e+03	+0.206
6.000	+7.277e+03	+2.502e+03	+9.448e+03	+0.256
6.100	+7.046e+03	+2.309e+03	+9.561e+03	+0.247
6.200	+6.932e+03	+3.121e+03	+9.593e+03	+0.310
6.300	+7.940e+03	+2.358e+03	+9.142e+03	+0.229
6.400	+7.060e+03	+2.534e+03	+1.083e+04	+0.264
6.500	+7.118e+03	+2.192e+03	+9.963e+03	+0.235
6.600	+7.259e+03	+3.029e+03	+1.111e+04	+0.294
6.700	+6.729e+03	+2.119e+03	+1.129e+04	+0.240
6.800	+7.504e+03	+3.108e+03	+9.828e+03	+0.293
6.900	+6.563e+03	+3.786e+03	+8.849e+03	+0.366
7.000	+7.317e+03	+2.639e+03	+9.599e+03	+0.265
7.100	+8.495e+03	+2.230e+03	+1.050e+04	+0.208
7.200	+4.951e+03	+4.822e+03	+9.915e+03	+0.493
7.300	+2.051e+03	+1.019e+04	+1.045e+04	+0.833
7.400	+2.030e+03	+7.459e+03	+9.722e+03	+0.786
7.500	+2.651e+03	+6.676e+03	+9.569e+03	+0.716
7.600	+2.306e+03	+8.330e+03	+1.028e+04	+0.783
7.700	+1.011e+03	+8.213e+03	+1.005e+04	+0.890
7.800	+2.551e+03	+8.005e+03	+8.590e+03	+0.758
7.900	+2.198e+03	+8.234e+03	+1.003e+04	+0.789
8.000	+2.173e+03	+8.330e+03	+1.084e+04	+0.793
8.100	+2.169e+03	+6.753e+03	+8.413e+03	+0.757
8.200	+3.013e+03	+7.731e+03	+9.766e+03	+0.720
8.300	+2.167e+03	+8.166e+03	+1.044e+04	+0.790
8.400	+2.819e+03	+8.345e+03	+1.104e+04	+0.748
8.500	+5.019e+02	+8.697e+03	+9.517e+03	+0.945
8.600	+1.132e+03	+8.266e+03	+9.599e+03	+0.880
8.700	+9.029e+02	+8.742e+03	+1.041e+04	+0.906
8.800	+2.354e+03	+7.860e+03	+1.094e+04	+0.770
8.900	+8.121e+02	+7.729e+03	+1.033e+04	+0.905
9.000	+2.083e+03	+7.332e+03	+9.528e+03	+0.779
9.100	+1.373e+03	+8.703e+03	+1.052e+04	+0.864
9.200	+2.278e+03	+7.918e+03	+8.916e+03	+0.777
9.300	+2.162e+03	+7.682e+03	+9.019e+03	+0.780
9.400	+1.531e+03	+7.858e+03	+1.043e+04	+0.837
9.500	+2.011e+03	+7.417e+03	+1.036e+04	+0.787
9.600	+1.351e+03	+8.591e+03	+1.125e+04	+0.864
9.700	+1.841e+03	+8.550e+03	+9.193e+03	+0.823
9.800	+1.805e+03	+6.898e+03	+9.568e+03	+0.793
9.900	+3.762e+03	+6.632e+03	+9.884e+03	+0.638
10.000	+5.336e+03	+6.169e+03	+1.023e+04	+0.536
10.100	+5.358e+03	+4.242e+03	+1.077e+04	+0.442
10.200	+5.400e+03	+3.886e+03	+9.791e+03	+0.418
10.300	+4.115e+03	+4.879e+03	+1.003e+04	+0.542
10.400	+4.170e+03	+5.599e+03	+1.027e+04	+0.573
10.500	+4.660e+03	+6.203e+03	+1.171e+04	+0.571
10.600	+4.750e+03	+6.063e+03	+9.501e+03	+0.561
10.700	+1.730e+03	+8.154e+03	+9.422e+03	+0.825
10.800	+2.009e+03	+9.430e+03	+1.021e+04	+0.824
10.900	+2.227e+03	+8.484e+03	+1.054e+04	+0.792
11.000	+1.226e+03	+8.276e+03	+9.293e+03	+0.871
11.100	+2.503e+03	+8.338e+03	+1.048e+04	+0.769
11.200	+1.865e+03	+6.633e+03	+9.339e+03	+0.781
11.300	+5.453e+03	+5.672e+03	+1.010e+04	+0.510
11.400	+4.749e+03	+5.639e+03	+1.012e+04	+0.543
11.500	+5.279e+03	+5.470e+03	+1.009e+04	+0.509
11.600	+4.922e+03	+4.710e+03	+9.474e+03	+0.489
11.700	+4.997e+03	+4.705e+03	+9.975e+03	+0.485
11.800	+5.262e+03	+4.700e+03	+1.066e+04	+0.472
11.900	+6.319e+03	+6.442e+03	+8.571e+03	+0.505
12.000	+4.259e+03	+4.692e+03	+1.063e+04	+0.524
12.100	+4.174e+03	+4.721e+03	+1.032e+04	+0.531
12.200	+5.749e+03	+4.964e+03	+1.007e+04	+0.463
12.300	+5.007e+03	+4.759e+03	+1.031e+04	+0.487
12.400	+4.751e+03	+3.455e+03	+1.019e+04	+0.421
12.500	+4.643e+03	+5.750e+03	+1.061e+04	+0.553
12.600	+4.052e+03	+6.032e+03	+1.038e+04	+0.598
12.700	+4.909e+03	+4.803e+03	+1.011e+04	+0.495
12.800	+5.807e+03	+4.436e+03	+1.020e+04	+0.433
12.900	+5.078e+03	+4.673e+03	+1.013e+04	+0.479
13.000	+4.932e+03	+5.920e+03	+1.050e+04	+0.546
13.100	+4.638e+03	+6.010e+03	+1.009e+04	+0.564
13.200	+5.924e+03	+5.373e+03	+1.090e+04	+0.476
13.300	+3.512e+03	+4.718e+03	+9.727e+03	+0.573
13.400	+4.488e+03	+4.977e+03	+1.030e+04	+0.526
13.500	+3.904e+03	+7.426e+03	+9.283e+03	+0.655
13.600	+1.861e+03	+9.055e+03	+9.928e+03	+0.830
13.700	+2.524e+03	+6.348e+03	+1.069e+04	+0.715
13.800	+1.587e+03	+8.688e+03	+9.685e+03	+0.846
13.900	+2.360e+03	+7.513e+03	+9.225e+03	+0.761
14.000	+7.636e+03	+2.321e+03	+9.613e+03	+0.233
14.100	+7.277e+03	+3.431e+03	+9.717e+03	+0.320
14.200	+7.433e+03	+2.762e+03	+1.079e+04	+0.271
14.300	+7.811e+03	+1.969e+03	+1.183e+04	+0.201
14.400	+7.019e+03	+2.479e+03	+9.363e+03	+0.261
14.500	+7.895e+03	+3.203e+03	+1.009e+04	+0.289
14.600	+8.224e+03	+2.005e+03	+9.537e+03	+0.196
14.700	+8.623e+03	+1.967e+03	+9.533e+03	+0.186
14.800	+8.249e+03	+1.666e+03	+1.090e+04	+0.168
14.900	+6.614e+03	+3.437e+03	+9.878e+03	+0.342
15.000	+6.927e+03	+1.480e+03	+8.857e+03	+0.176
15.100	+7.218e+03	+4.016e+03	+9.368e+03	+0.357
15.200	+6.967e+03	+3.037e+03	+9.381e+03	+0.304
15.300	+7.006e+03	+3.086e+03	+9.682e+03	+0.306
15.400	+8.482e+03	+1.757e+03	+1.013e+04	+0.172
15.500	+6.557e+03	+2.502e+03	+1.010e+04	+0.276
15.600	+8.819e+03	+3.002e+03	+1.015e+04	+0.254
15.700	+7.964e+03	+1.994e+03	+1.097e+04	+0.200
15.800	+8.139e+03	+2.211e+03	+8.979e+03	+0.214
15.900	+8.212e+03	+2.588e+03	+9.714e+03	+0.240
16.000	+9.160e+03	+2.734e+03	+1.068e+04	+0.230
16.100	+7.628e+03	+2.808e+03	+9.387e+03	+0.269
16.200	+8.221e+03	+2.412e+03	+9.130e+03	+0.227
16.300	+7.648e+03	+3.268e+03	+1.086e+04	+0.299
16.400	+8.273e+03	+6.720e+02	+9.585e+03	+0.075
16.500	+8.559e+03	+2.500e+03	+1.030e+04	+0.226
16.600	+8.234e+03	+3.755e+03	+9.553e+03	+0.313
16.700	+8.157e+03	+3.651e+03	+9.727e+03	+0.309
16.800	+6.021e+03	+2.460e+03	+1.081e+04	+0.290
16.900	+7.375e+03	+3.373e+03	+1.020e+04	+0.314
17.000	+8.177e+03	+3.820e+03	+9.931e+03	+0.318
17.100	+7.030e+03	+2.476e+03	+9.086e+03	+0.260
17.200	+6.849e+03	+1.175e+03	+1.103e+04	+0.146
17.300	+8.413e+03	+1.932e+03	+8.628e+03	+0.187
17.400	+8.032e+03	+1.887e+03	+1.007e+04	+0.190
17.500	+7.194e+03	+2.407e+03	+1.079e+04	+0.251
17.600	+7.343e+03	+3.219e+03	+1.074e+04	+0.305
17.700	+2.075e+03	+7.900e+03	+1.040e+04	+0.792
17.800	+1.458e+03	+8.004e+03	+9.782e+03	+0.846
17.900	+1.452e+03	+8.269e+03	+9.900e+03	+0.851
18.000	+1.637e+03	+8.847e+03	+1.007e+04	+0.844
18.100	+2.978e+03	+9.349e+03	+9.348e+03	+0.758
18.200	+2.583e+03	+6.823e+03	+9.958e+03	+0.725
18.300	+1.398e+03	+8.527e+03	+1.152e+04	+0.859
18.400	+1.575e+03	+9.637e+03	+9.128e+03	+0.860
18.500	+1.960e+03	+8.350e+03	+9.441e+03	+0.810
18.600	+1.236e+03	+7.622e+03	+9.624e+03	+0.860
18.700	+2.816e+03	+9.752e+03	+1.052e+04	+0.776
18.800	+2.580e+03	+8.113e+03	+9.810e+03	+0.759
18.900	+4.369e+03	+5.944e+03	+9.549e+03	+0.576
19.000	+4.684e+03	+4.853e+03	+9.422e+03	+0.509
19.100	+5.396e+03	+5.426e+03	+1.035e+04	+0.501
19.200	+5.059e+03	+5.029e+03	+9.932e+03	+0.499
19.300	+5.977e+03	+4.647e+03	+9.482e+03	+0.437
19.400	+3.912e+03	+4.335e+03	+1.003e+04	+0.526
19.500	+5.221e+03	+4.422e+03	+9.639e+03	+0.459
19.600	+5.424e+03	+5.406e+03	+1.013e+04	+0.499
19.700	+4.517e+03	+4.973e+03	+9.367e+03	+0.524
19.800	+4.449e+03	+5.384e+03	+9.960e+03	+0.548
19.900	+4.845e+03	+5.037e+03	+1.118e+04	+0.510
20.000	+5.228e+03	+4.585e+03	+8.978e+03	+0.467
20.100	+5.033e+03	+5.043e+03	+8.317e+03	+0.501
20.200	+1.397e+03	+7.935e+03	+1.039e+04	+0.850
20.300	+1.643e+03	+6.767e+03	+1.040e+04	+0.805
20.400	+2.116e+03	+8.378e+03	+1.051e+04	+0.798
20.500	+1.992e+03	+7.831e+03	+1.049e+04	+0.797
20.600	+3.028e+03	+8.528e+03	+8.902e+03	+0.738
20.700	+1.537e+03	+7.506e+03	+1.037e+04	+0.830
20.800	+2.388e+03	+7.514e+03	+9.588e+03	+0.759
20.900	+1.872e+03	+7.996e+03	+9.366e+03	+0.810
21.000	+1.797e+03	+7.146e+03	+1.009e+04	+0.799
21.100	+1.624e+03	+8.255e+03	+1.002e+04	+0.836
21.200	+3.637e+03	+7.359e+03	+1.028e+04	+0.669
21.300	+2.334e+03	+7.599e+03	+1.009e+04	+0.765
21.400	+3.080e+03	+5.851e+03	+9.645e+03	+0.655
21.500	+3.233e+03	+7.072e+03	+1.008e+04	+0.686
21.600	+1.802e+03	+7.417e+03	+1.078e+04	+0.805
21.700	+3.225e+03	+8.172e+03	+9.180e+03	+0.717
21.800	+2.162e+03	+7.830e+03	+9.297e+03	+0.784
21.900	+3.275e+03	+8.190e+03	+1.110e+04	+0.714
22.000	+3.194e+03	+8.642e+03	+9.508e+03	+0.730
22.100	+1.766e+03	+6.831e+03	+9.891e+03	+0.795
22.200	+1.488e+03	+8.369e+03	+1.063e+04	+0.849
22.300	+1.156e+03	+8.571e+03	+9.639e+03	+0.881
22.400	+1.547e+03	+7.870e+03	+1.019e+04	+0.836
22.500	+2.639e+03	+8.167e+03	+9.651e+03	+0.756
22.600	+1.828e+03	+7.851e+03	+9.408e+03	+0.811
22.700	+7.746e+02	+8.278e+03	+9.691e+03	+0.914
22.800	+2.500e+03	+7.878e+03	+1.064e+04	+0.759
22.900	+2.805e+03	+7.045e+03	+9.349e+03	+0.715
23.000	+2.854e+03	+8.344e+03	+9.241e+03	+0.745
23.100	+3.410e+03	+6.032e+03	+9.592e+03	+0.639
23.200	+7.893e+03	+2.474e+03	+9.829e+03	+0.239
23.300	+6.346e+03	+2.162e+03	+9.530e+03	+0.254
23.400	+6.966e+03	+3.065e+03	+1.064e+04	+0.306
23.500	+8.426e+03	+2.574e+03	+1.119e+04	+0.234
23.600	+7.482e+03	+2.895e+03	+9.565e+03	+0.279
23.700	+6.864e+03	+3.237e+03	+9.598e+03	+0.320
23.800	+7.223e+03	+2.339e+03	+9.776e+03	+0.245
23.900	+7.649e+03	+3.363e+03	+1.006e+04	+0.305
24.000	+9.181e+03	+1.266e+03	+9.576e+03	+0.121
24.100	+7.678e+03	+2.636e+03	+1.030e+04	+0.256
24.200	+7.251e+03	+2.260e+03	+9.232e+03	+0.238
24.300	+8.098e+03	+2.477e+03	+1.056e+04	+0.234
24.400	+8.340e+03	+2.019e+03	+9.076e+03	+0.195
24.500	+8.253e+03	+2.954e+03	+9.816e+03	+0.264
24.600	+6.457e+03	+1.448e+03	+9.688e+03	+0.183
24.700	+6.642e+03	+2.244e+03	+1.106e+04	+0.252
24.800	+6.593e+03	+2.999e+03	+1.073e+04	+0.313
24.900	+8.181e+03	+1.663e+03	+9.757e+03	+0.169
25.000	+8.075e+03	+2.336e+03	+1.004e+04	+0.224
25.100	+8.705e+03	+3.258e+03	+1.028e+04	+0.272
25.200	+7.867e+03	+2.359e+03	+9.805e+03	+0.231
25.300	+7.885e+03	+3.964e+03	+8.980e+03	+0.335
25.400	+6.885e+03	+2.334e+03	+1.076e+04	+0.253
25.500	+7.430e+03	+2.458e+03	+1.067e+04	+0.249
25.600	+6.868e+03	+1.243e+03	+1.005e+04	+0.153
25.700	+7.230e+03	+2.324e+03	+1.013e+04	+0.243
25.800	+7.486e+03	+2.506e+03	+9.532e+03	+0.251
25.900	+6.814e+03	+2.948e+03	+1.053e+04	+0.302
26.000	+8.203e+03	+1.584e+03	+1.114e+04	+0.162
26.100	+6.294e+03	+1.950e+03	+1.075e+04	+0.237
26.200	+7.048e+03	+3.450e+03	+9.658e+03	+0.329
26.300	+6.967e+03	+2.590e+03	+1.029e+04	+0.271
26.400	+7.345e+03	+1.481e+03	+9.906e+03	+0.168
26.500	+6.802e+03	+2.262e+03	+1.000e+04	+0.250
26.600	+7.326e+03	+2.100e+03	+1.111e+04	+0.223
26.700	+7.552e+03	+2.031e+03	+1.076e+04	+0.212
26.800	+7.438e+03	+2.163e+03	+1.064e+04	+0.225
26.900	+7.657e+03	+2.356e+03	+9.593e+03	+0.235
27.000	+7.722e+03	+2.008e+03	+1.102e+04	+0.206
27.100	+7.065e+03	+3.362e+03	+9.848e+03	+0.322
27.200	+7.656e+03	+1.488e+03	+1.042e+04	+0.163
27.300	+7.185e+03	+1.809e+03	+9.543e+03	+0.201
27.400	+7.391e+03	+1.433e+03	+1.132e+04	+0.162
27.500	+7.816e+03	+2.760e+03	+9.084e+03	+0.261
27.600	+6.803e+03	+2.358e+03	+1.022e+04	+0.257
27.700	+7.559e+03	+2.784e+03	+9.391e+03	+0.269
27.800	+7.918e+03	+2.906e+03	+1.079e+04	+0.268
27.900	+8.204e+03	+2.634e+03	+1.057e+04	+0.243
28.000	+7.894e+03	+2.182e+03	+8.745e+03	+0.217
28.100	+8.110e+03	+2.841e+03	+1.043e+04	+0.259
28.200	+9.431e+03	+1.367e+03	+9.760e+03	+0.127
28.300	+6.321e+03	+3.125e+03	+9.662e+03	+0.331
28.400	+7.206e+03	+2.970e+03	+1.033e+04	+0.292
28.500	+8.143e+03	+2.644e+03	+1.054e+04	+0.245
28.600	+7.781e+03	+2.598e+03	+8.463e+03	+0.250
28.700	+8.345e+03	+1.505e+03	+1.087e+04	+0.153
28.800	+7.497e+03	+1.954e+03	+1.000e+04	+0.207
28.900	+6.336e+03	+2.488e+03	+1.121e+04	+0.282
29.000	+8.089e+03	+3.169e+03	+1.046e+04	+0.281
29.100	+7.136e+03	+2.331e+03	+1.072e+04	+0.246
29.200	+7.616e+03	+2.018e+03	+1.003e+04	+0.209
29.300	+7.745e+03	+1.067e+03	+9.650e+03	+0.121
29.400	+7.344e+03	+1.523e+03	+9.815e+03	+0.172
29.500	+8.091e+03	+2.056e+03	+1.146e+04	+0.203
