%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+3.948e-01
2	2	+3.948e-01	+2.051e+00
3	3	+2.445e+00	+5.833e+00
2	2	+8.279e+00	+4.387e-01
3	3	+8.718e+00	+1.562e+00
2	2	+1.028e+01	+8.259e-01
3	3	+1.111e+01	+3.421e+00
2	2	+1.453e+01	+3.024e+00
3	3	+1.755e+01	+5.050e+00
2	2	+2.260e+01	+2.681e-01
3	3	+2.287e+01	+7.807e-01
2	2	+2.365e+01	+5.539e-01
3	3	+2.420e+01	+2.252e+00
1	1	+2.646e+01	+5.797e-01
2	2	+2.703e+01	+4.651e-02
3	3	+2.708e+01	+1.522e+00
2	2	+2.860e+01	+4.431e+00
1	1	+3.303e+01	+6.109e-01
2	2	+3.364e+01	+4.043e+00
3	3	+3.769e+01	+2.574e+00
1	1	+4.026e+01	+1.234e+00
2	2	+4.150e+01	+1.219e+00
1	1	+4.272e+01	+1.265e+00
2	2	+4.398e+01	+1.485e+00
3	3	+4.547e+01	+1.114e+00
2	2	+4.658e+01	+1.642e+00
3	3	+4.822e+01	+1.318e+00
2	2	+4.954e+01	+2.433e-01
3	3	+4.978e+01	+1.188e+00
2	2	+5.097e+01	+9.678e-01
1	1	+5.194e+01	+2.020e+00
2	2	+5.396e+01	+2.736e-01
3	3	+5.423e+01	+2.849e+00
2	2	+5.708e+01	+8.203e-01
3	3	+5.790e+01	+2.868e+00
2	2	+6.077e+01	+7.914e-01
3	3	+6.156e+01	+3.560e-01
2	2	+6.192e+01	+3.918e+00
3	3	+6.584e+01	+3.073e+00
2	2	+6.891e+01	+1.570e+00
3	3	+7.048e+01	+2.533e-02
2	2	+7.050e+01	+2.456e+00
3	3	+7.296e+01	+1.352e+00
2	2	+7.431e+01	+2.182e+00
3	3	+7.649e+01	+1.866e+00
2	2	+7.836e+01	+2.413e+00
3	3	+8.077e+01	+1.506e-01
2	2	+8.092e+01	+2.116e+00
3	3	+8.304e+01	+1.236e+00
2	2	+8.427e+01	+2.902e+00
3	3	+8.718e+01	+1.406e+00
2	2	+8.858e+01	+2.037e+00
3	3	+9.062e+01	+1.254e+00
2	2	+9.187e+01	+2.435e+00
3	3	+9.431e+01	+1.387e+00
2	2	+9.569e+01	+3.688e+00
3	3	+9.938e+01	+1.054e+00
2	2	+1.004e+02	+1.022e+00
3	3	+1.015e+02	+1.409e+01
2	2	+1.155e+02	+4.663e-01
3	3	+1.160e+02	+1.681e-01
2	2	+1.162e+02	+8.974e-01
3	3	+1.171e+02	+8.128e+00
2	2	+1.252e+02	+3.979e-01
3	3	+1.256e+02	+9.690e-01
2	2	+1.266e+02	+9.413e-01
3	3	+1.275e+02	+9.338e-02
2	2	+1.276e+02	+4.234e-01
3	3	+1.280e+02	+5.151e+00
1	1	+1.332e+02	+1.389e+00
2	2	+1.346e+02	+7.718e+00
1	1	+1.423e+02	+7.641e-01
2	2	+1.431e+02	+2.370e+00
3	3	+1.454e+02	+3.570e-01
2	2	+1.458e+02	+1.702e+00
3	3	+1.475e+02	+2.110e+00
1	1	+1.496e+02	+1.342e+00
2	2	+1.509e+02	+2.195e-01
1	1	+1.512e+02	+8.402e-01
2	2	+1.520e+02	+4.388e+00
3	3	+1.564e+02	+1.697e+00
2	2	+1.581e+02	+1.878e+00
3	3	+1.600e+02	+8.074e+00
2	2	+1.680e+02	+2.781e+00
1	1	+1.708e+02	+3.343e-01
2	2	+1.711e+02	+5.035e+00
3	3	+1.762e+02	+2.645e+00
2	2	+1.788e+02	+1.686e+00
1	1	+1.805e+02	+5.905e-01
2	2	+1.811e+02	+1.227e+00
3	3	+1.823e+02	+2.902e+00
2	2	+1.852e+02	+1.760e+00
1	1	+1.870e+02	+6.535e-01
2	2	+1.876e+02	+2.216e+00
0	0	+1.899e+02	+Inf
