%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.581e+03	+1.333e+03	+9.265e+03	+0.168
0.100	+7.238e+03	+2.269e+03	+1.034e+04	+0.239
0.200	+8.229e+03	+3.079e+03	+1.003e+04	+0.272
0.300	+7.770e+03	+2.033e+03	+1.029e+04	+0.207
0.400	+7.169e+03	+2.101e+03	+1.095e+04	+0.227
0.500	+8.051e+03	+1.960e+03	+9.644e+03	+0.196
0.600	+6.930e+03	+3.127e+03	+1.064e+04	+0.311
0.700	+7.661e+03	+1.999e+03	+1.016e+04	+0.207
0.800	+8.488e+03	+3.045e+03	+1.077e+04	+0.264
0.900	+8.536e+03	+2.335e+03	+8.742e+03	+0.215
1.000	+6.344e+03	+2.147e+03	+9.562e+03	+0.253
1.100	+7.798e+03	+9.265e+02	+1.037e+04	+0.106
1.200	+8.680e+03	+3.160e+03	+9.509e+03	+0.267
1.300	+8.072e+03	+3.439e+03	+9.262e+03	+0.299
1.400	+8.379e+03	+2.366e+03	+1.030e+04	+0.220
1.500	+6.062e+03	+2.999e+03	+9.294e+03	+0.331
1.600	+7.253e+03	+2.890e+03	+9.808e+03	+0.285
1.700	+8.234e+03	+3.217e+03	+9.881e+03	+0.281
1.800	+7.660e+03	+2.089e+03	+1.005e+04	+0.214
1.900	+7.196e+03	+3.760e+03	+9.293e+03	+0.343
2.000	+7.794e+03	+3.194e+03	+9.764e+03	+0.291
2.100	+6.491e+03	+2.150e+03	+9.271e+03	+0.249
2.200	+4.540e+03	+3.423e+03	+8.656e+03	+0.430
2.300	+4.544e+03	+4.957e+03	+1.038e+04	+0.522
2.400	+5.508e+03	+4.957e+03	+1.181e+04	+0.474
2.500	+5.355e+03	+5.500e+03	+8.480e+03	+0.507
2.600	+4.386e+03	+4.559e+03	+1.013e+04	+0.510
2.700	+5.532e+03	+4.910e+03	+1.024e+04	+0.470
2.800	+4.787e+03	+5.567e+03	+1.077e+04	+0.538
2.900	+4.453e+03	+4.539e+03	+1.062e+04	+0.505
3.000	+1.925e+03	+8.157e+03	+1.045e+04	+0.809
3.100	+1.513e+03	+7.308e+03	+1.008e+04	+0.829
3.200	+1.964e+03	+7.564e+03	+1.052e+04	+0.794
3.300	+9.836e+02	+8.015e+03	+9.428e+03	+0.891
3.400	+2.645e+03	+8.394e+03	+9.727e+03	+0.760
3.500	+1.227e+03	+7.563e+03	+9.572e+03	+0.860
3.600	+1.793e+03	+8.175e+03	+1.051e+04	+0.820
3.700	+1.097e+03	+7.034e+03	+9.846e+03	+0.865
3.800	+2.069e+03	+6.867e+03	+1.129e+04	+0.768
3.900	+1.769e+03	+7.582e+03	+1.003e+04	+0.811
4.000	+2.240e+03	+7.990e+03	+1.134e+04	+0.781
4.100	+1.237e+03	+8.340e+03	+1.001e+04	+0.871
4.200	+3.149e+03	+7.702e+03	+8.703e+03	+0.710
4.300	+1.387e+03	+8.896e+03	+1.001e+04	+0.865
4.400	+2.330e+03	+7.289e+03	+9.749e+03	+0.758
4.500	+2.005e+03	+8.407e+03	+8.621e+03	+0.807
